date_time,black_carbon,pm25,particle_num
2014-12-08 09:10:00,33.8,141,34112
2014-12-08 09:11:00,33.2,132.6,29291
2014-12-08 09:12:00,34.9,138,30843
2014-12-08 09:13:00,42.6,148.2,28477
2014-12-08 09:14:00,39.9,169.8,24538
2014-12-08 09:15:00,27.7,132.6,19416
2014-12-08 09:16:00,24.9,101.4,19033
2014-12-08 09:17:00,28.9,106.2,19609
2014-12-08 09:18:00,30.8,115.2,20322
2014-12-08 09:19:00,33.2,128.4,20382
2014-12-08 09:20:00,15.2,101.4,9980
2014-12-08 09:21:00,29.2,51.6,22946
2014-12-08 09:22:00,73.5,212.4,23032
2014-12-08 09:23:00,66.5,135,21639
2014-12-08 09:24:00,62,147,20920
2014-12-08 09:25:00,29.5,133.8,14528
2014-12-08 09:26:00,26.3,83.4,13607
2014-12-08 09:27:00,46.2,140.4,17891
2014-12-08 09:28:00,43.7,217.2,19968
2014-12-08 09:29:00,46.5,256.2,21909
2014-12-08 09:30:00,52.1,300.6,19046
2014-12-08 09:31:00,51.2,246,16758
2014-12-08 09:32:00,50.2,265.8,16865
2014-12-08 09:33:00,48.6,237.6,14242
2014-12-08 09:34:00,39.8,117,11300
2014-12-08 09:35:00,36.9,106.2,14243
2014-12-08 09:36:00,29.3,161.4,17331
2014-12-08 09:37:00,23.5,138.6,19282
2014-12-08 09:38:00,19.9,129.6,23980
2014-12-08 09:39:00,17.6,134.4,21144
2014-12-08 09:40:00,16,100.2,20671
2014-12-08 09:41:00,17.3,103.2,19794
2014-12-08 09:42:00,16.6,120.6,13933
2014-12-08 09:43:00,11.8,58.8,12942
2014-12-08 09:44:00,11,59.4,13051
2014-12-08 09:45:00,11.2,86.4,14015
2014-12-08 09:46:00,12,75,15509
2014-12-08 09:47:00,16.5,103.2,15507
2014-12-08 09:48:00,17,131.4,14114
2014-12-08 09:49:00,15.5,121.2,12919
2014-12-08 09:50:00,15.6,100.2,13642
2014-12-08 09:51:00,16.6,141,15297
2014-12-08 09:52:00,21.8,174.6,14975
2014-12-08 09:53:00,27.6,193.2,14282
2014-12-08 09:54:00,27.3,262.8,14241
2014-12-08 09:55:00,27.2,214.8,12754
2014-12-08 09:56:00,19.8,116.4,13044
2014-12-08 09:57:00,17.4,72,17790
2014-12-08 09:58:00,10.4,40.2,18402
2014-12-08 09:59:00,16,23.4,14536
2014-12-08 10:00:00,21.5,75.6,12225
2014-12-08 10:01:00,25.8,91.8,13879
2014-12-08 10:02:00,21.7,85.2,11527
2014-12-08 10:03:00,22,75.6,11156
2014-12-08 10:04:00,29.8,138.6,11915
2014-12-08 10:05:00,32.6,184.8,12143
