DateTime,BC,PCNT
2014-12-08 09:07,66,0
2014-12-08 09:08,44.7,0
2014-12-08 09:09,45.7,0
2014-12-08 09:10,47.6,34112
2014-12-08 09:11,45.9,29291
2014-12-08 09:12,48.3,30843
2014-12-08 09:13,54.6,28477
2014-12-08 09:14,50,24538
2014-12-08 09:15,35.3,19416
2014-12-08 09:16,31.7,19033
2014-12-08 09:17,34,19609
2014-12-08 09:18,36.2,20322
2014-12-08 09:19,43,20382
2014-12-08 09:20,13.8,9980
2014-12-08 09:21,39.9,22946
2014-12-08 09:22,53.7,23032
2014-12-08 09:23,41.6,21639
2014-12-08 09:24,40.3,20920
2014-12-08 09:25,32.1,14528
2014-12-08 09:26,24.8,13607
2014-12-08 09:27,53.2,17891
2014-12-08 09:28,69.9,19968
2014-12-08 09:29,79,21909
2014-12-08 09:30,85.5,19046
2014-12-08 09:31,67.1,16758
2014-12-08 09:32,65.8,16865
2014-12-08 09:33,54.7,14242
2014-12-08 09:34,23.6,11300
2014-12-08 09:35,31.5,14243
2014-12-08 09:36,44.6,17331
2014-12-08 09:37,34.1,19282
2014-12-08 09:38,46.1,23980
2014-12-08 09:39,32.1,21144
2014-12-08 09:40,30.1,20671
2014-12-08 09:41,39,19794
2014-12-08 09:42,30.1,13933
2014-12-08 09:43,15.6,12942
2014-12-08 09:44,29.4,13051
2014-12-08 09:45,30.7,14015
2014-12-08 09:46,25.4,15509
2014-12-08 09:47,39.4,15507
2014-12-08 09:48,45.3,14114
2014-12-08 09:49,35.5,12919
2014-12-08 09:50,35.2,13642
2014-12-08 09:51,54.2,15297
2014-12-08 09:52,54,14975
2014-12-08 09:53,62.8,14282
2014-12-08 09:54,60.3,14241
2014-12-08 09:55,37.1,12754
2014-12-08 09:56,21.8,13044
2014-12-08 09:57,18.6,17790
2014-12-08 09:58,12,18402
2014-12-08 09:59,20.6,14536
2014-12-08 10:00,25.3,12225
2014-12-08 10:01,31.3,13879
2014-12-08 10:02,18.4,11527
2014-12-08 10:03,20.4,11156
2014-12-08 10:04,37.6,11915
2014-12-08 10:05,51,12143
2014-12-08 10:06,47.2,11961
2014-12-08 10:07,35.3,10131
2014-12-08 10:08,52.4,10968
2014-12-08 10:09,26.5,8253
2014-12-08 10:10,36.1,11464
2014-12-08 10:11,53.5,17096
2014-12-08 10:12,28.9,13107
2014-12-08 10:13,39.7,12425
2014-12-08 10:14,24.6,9256
2014-12-08 10:15,32.8,10221
2014-12-08 10:16,33.9,9751
2014-12-08 10:17,33.4,11305
2014-12-08 10:18,38.4,12598
2014-12-08 10:19,46.4,14061
2014-12-08 10:20,43.4,16290
2014-12-08 10:21,32.3,14012
2014-12-08 10:22,23.4,11751
2014-12-08 10:23,25.5,13428
2014-12-08 10:24,26.2,14806
2014-12-08 10:25,28.8,13017
2014-12-08 10:26,26.3,10803
2014-12-08 10:27,20.7,10258
2014-12-08 10:28,24.6,8541
2014-12-08 10:29,31.1,8741
2014-12-08 10:30,42.2,10656
2014-12-08 10:31,38.7,10643
2014-12-08 10:32,45.4,11920
2014-12-08 10:33,53.6,13893
2014-12-08 10:34,53.5,15427
2014-12-08 10:35,55.2,16478
2014-12-08 10:36,64.2,18030
2014-12-08 10:37,69.9,16843
2014-12-08 10:38,62.9,15116
2014-12-08 10:39,12.5,7641
2014-12-08 10:40,14.7,7495
2014-12-10 10:52,4.3,9803
2014-12-10 10:53,4.2,9163
2014-12-10 10:54,3.7,8230
2014-12-10 10:55,3.1,7279
2014-12-10 10:56,2.7,7448
2014-12-10 10:57,2.3,8407
2014-12-10 10:58,2.4,8889
2014-12-10 10:59,2.4,9678
2014-12-10 11:00,2.5,9414
2014-12-10 11:01,2.3,8520
2014-12-10 11:02,3.7,8634
2014-12-10 11:03,4.2,7780
2014-12-10 11:04,2.7,6453
2014-12-10 11:05,3.5,6203
2014-12-10 11:06,3.7,5439
2014-12-10 11:07,4.3,5637
2014-12-10 11:08,12,16738
2014-12-10 11:09,11.5,16037
2014-12-10 11:10,26.2,16962
2014-12-10 11:11,27.6,15071
2014-12-10 11:12,25.7,12469
2014-12-10 11:13,23.4,11072
2014-12-10 11:14,21,10987
2014-12-10 11:15,12.2,11832
2014-12-10 11:16,15.6,12816
2014-12-10 11:17,20,16021
2014-12-10 11:18,16.9,14508
2014-12-10 11:19,8.9,9979
2014-12-10 11:20,10,10659
2014-12-10 11:21,19,11364
2014-12-10 11:22,16.8,9885
2014-12-10 11:23,16,9030
2014-12-10 11:24,19.9,9977
2014-12-10 11:25,21.6,10837
2014-12-10 11:26,18.7,11569
2014-12-10 11:27,16.3,11710
2014-12-10 11:28,13.2,11900
2014-12-10 11:29,11,12372
2014-12-10 11:30,8.6,11659
2014-12-10 11:31,7.5,12636
2014-12-10 11:32,7.4,13847
2014-12-10 11:33,7.8,12978
2014-12-10 11:34,7.5,11075
2014-12-10 11:35,5.9,10221
2014-12-10 11:36,4.6,10463
2014-12-10 11:37,2.9,10191
2014-12-10 11:38,3.8,10219
2014-12-10 11:39,4.8,8925
2014-12-10 11:40,6,8361
2014-12-10 11:41,7.2,8458
2014-12-10 11:42,11,9978
2014-12-10 11:43,33.2,15002
2014-12-10 11:44,23.2,12369
2014-12-10 11:45,20.1,12299
2014-12-10 11:46,15.3,11117
2014-12-10 11:47,11.2,10368
2014-12-10 11:48,8.2,11186
2014-12-10 11:49,5.2,12573
2014-12-10 11:50,6,12660
2014-12-10 11:51,5.8,12842
2014-12-10 11:52,4.3,10040
2014-12-10 11:53,3.6,9320
2014-12-10 11:54,2.9,8779
2014-12-10 11:55,3,7662
2014-12-10 11:56,2.3,7928
2014-12-10 11:57,2.4,9013
2014-12-10 11:58,2.4,9941
2014-12-10 11:59,2,9871
2014-12-10 12:00,1.8,8467
2014-12-10 12:01,1.3,7313
2014-12-10 12:02,1.1,9270
2014-12-10 12:03,1.5,9209
2014-12-10 12:04,3.3,8951
2014-12-10 12:05,2.6,8021
2014-12-10 12:06,1.8,7994
2014-12-10 12:07,1.3,11194
2014-12-10 12:08,1.7,10916
2014-12-10 12:09,1.6,10469
2014-12-10 12:10,1.6,12685
2014-12-10 12:11,2.1,14267
2014-12-10 12:12,2.2,14239
2014-12-10 12:13,2,12870
2014-12-10 12:14,2.3,10326
2014-12-10 12:15,1.1,7597
2014-12-10 12:16,1.2,6785
2014-12-10 12:17,1,5760
2014-12-10 12:18,1.5,5812
2014-12-10 12:19,1.8,5791
2014-12-10 12:20,2.5,6511
2014-12-10 12:21,2.7,5904
2014-12-10 12:22,3.3,6889
2014-12-10 12:23,3.8,6495
2014-12-10 12:24,3.3,6690
2014-12-10 12:25,2.5,6162
2014-12-10 12:26,3.1,10143
2014-12-10 12:27,4.1,11965
2014-12-10 12:28,5.1,10966
2014-12-10 12:29,5.4,13016
2014-12-10 12:30,6.1,12913
2014-12-10 12:31,9.5,12771
2014-12-10 12:32,10.2,13021
2014-12-10 12:33,12.2,13193
2014-12-10 12:34,16,12452
2014-12-10 12:35,19.1,11507
2014-12-10 12:36,23.9,11470
2014-12-10 12:37,23.2,11671
2014-12-10 12:38,23.1,11628
2014-12-10 12:39,16.5,10140
2014-12-10 12:40,13.3,8894
2014-12-10 12:41,7.8,8070
2014-12-10 12:42,8,7700
2014-12-10 12:43,4.4,9378
2014-12-10 12:44,5.2,9611
2014-12-10 12:45,7.2,10994
2014-12-10 12:46,7.8,13307
2014-12-10 12:47,10.2,15274
2014-12-10 12:48,8.1,12917
2014-12-10 12:49,6.5,15053
2014-12-10 12:50,7.1,15656
2014-12-10 12:51,13.6,15945
2014-12-10 12:52,11.8,15097
2014-12-10 12:53,11.7,13875
2014-12-10 12:54,13.9,13860
2014-12-10 12:55,23.7,12785
2014-12-10 12:56,18.5,12429
2014-12-10 12:57,14.8,10938
2014-12-10 12:58,12.8,10056
2014-12-10 12:59,8.9,9056
2014-12-10 13:00,7.8,9098
2014-12-10 13:01,16.2,10927
2014-12-10 13:02,11.8,11953
2014-12-10 13:03,22.5,15281
