SiteCode,DateTime,PM25Raw
carriage,2014-12-08 09:06:00,293
carriage,2014-12-08 09:07:00,270
carriage,2014-12-08 09:08:00,221
carriage,2014-12-08 09:09:00,176
carriage,2014-12-08 09:10:00,235
carriage,2014-12-08 09:11:00,221
carriage,2014-12-08 09:12:00,230
carriage,2014-12-08 09:13:00,247
carriage,2014-12-08 09:14:00,283
carriage,2014-12-08 09:15:00,221
carriage,2014-12-08 09:16:00,169
carriage,2014-12-08 09:17:00,177
carriage,2014-12-08 09:18:00,192
carriage,2014-12-08 09:19:00,214
carriage,2014-12-08 09:20:00,169
carriage,2014-12-08 09:21:00,86
carriage,2014-12-08 09:22:00,354
carriage,2014-12-08 09:23:00,225
carriage,2014-12-08 09:24:00,245
carriage,2014-12-08 09:25:00,223
carriage,2014-12-08 09:26:00,139
carriage,2014-12-08 09:27:00,234
carriage,2014-12-08 09:28:00,362
carriage,2014-12-08 09:29:00,427
carriage,2014-12-08 09:30:00,501
carriage,2014-12-08 09:31:00,410
carriage,2014-12-08 09:32:00,443
carriage,2014-12-08 09:33:00,396
carriage,2014-12-08 09:34:00,195
carriage,2014-12-08 09:35:00,177
carriage,2014-12-08 09:36:00,269
carriage,2014-12-08 09:37:00,231
carriage,2014-12-08 09:38:00,216
carriage,2014-12-08 09:39:00,224
carriage,2014-12-08 09:40:00,167
carriage,2014-12-08 09:41:00,172
carriage,2014-12-08 09:42:00,201
carriage,2014-12-08 09:43:00,98
carriage,2014-12-08 09:44:00,99
carriage,2014-12-08 09:45:00,144
carriage,2014-12-08 09:46:00,125
carriage,2014-12-08 09:47:00,172
carriage,2014-12-08 09:48:00,219
carriage,2014-12-08 09:49:00,202
carriage,2014-12-08 09:50:00,167
carriage,2014-12-08 09:51:00,235
carriage,2014-12-08 09:52:00,291
carriage,2014-12-08 09:53:00,322
carriage,2014-12-08 09:54:00,438
carriage,2014-12-08 09:55:00,358
carriage,2014-12-08 09:56:00,194
carriage,2014-12-08 09:57:00,120
carriage,2014-12-08 09:58:00,67
carriage,2014-12-08 09:59:00,39
carriage,2014-12-08 10:00:00,126
carriage,2014-12-08 10:01:00,153
carriage,2014-12-08 10:02:00,142
carriage,2014-12-08 10:03:00,126
carriage,2014-12-08 10:04:00,231
carriage,2014-12-08 10:05:00,308
carriage,2014-12-08 10:06:00,418
carriage,2014-12-08 10:07:00,232
carriage,2014-12-08 10:08:00,225
carriage,2014-12-08 10:09:00,181
carriage,2014-12-08 10:10:00,100
carriage,2014-12-08 10:11:00,243
carriage,2014-12-08 10:12:00,153
carriage,2014-12-08 10:13:00,136
carriage,2014-12-08 10:14:00,156
carriage,2014-12-08 10:15:00,118
carriage,2014-12-08 10:16:00,187
carriage,2014-12-08 10:17:00,167
carriage,2014-12-08 10:18:00,137
carriage,2014-12-08 10:19:00,259
carriage,2014-12-08 10:20:00,193
carriage,2014-12-08 10:21:00,185
carriage,2014-12-08 10:22:00,122
carriage,2014-12-08 10:23:00,136
carriage,2014-12-08 10:24:00,125
carriage,2014-12-08 10:25:00,155
carriage,2014-12-08 10:26:00,136
carriage,2014-12-08 10:27:00,195
carriage,2014-12-08 10:28:00,139
carriage,2014-12-08 10:29:00,148
carriage,2014-12-08 10:30:00,213
carriage,2014-12-08 10:31:00,223
carriage,2014-12-08 10:32:00,244
carriage,2014-12-08 10:33:00,304
carriage,2014-12-08 10:34:00,345
carriage,2014-12-08 10:35:00,332
carriage,2014-12-08 10:36:00,398
carriage,2014-12-08 10:37:00,501
carriage,2014-12-08 10:38:00,477
carriage,2014-12-08 10:39:00,338
carriage,2014-12-08 10:40:00,52
carriage,2014-12-10 10:52:00,4
carriage,2014-12-10 10:53:00,8
carriage,2014-12-10 10:54:00,5
carriage,2014-12-10 10:55:00,3
carriage,2014-12-10 10:56:00,5
carriage,2014-12-10 10:57:00,4
carriage,2014-12-10 10:58:00,4
carriage,2014-12-10 10:59:00,4
carriage,2014-12-10 11:00:00,3
carriage,2014-12-10 11:01:00,3
carriage,2014-12-10 11:02:00,6
carriage,2014-12-10 11:03:00,8
carriage,2014-12-10 11:04:00,7
carriage,2014-12-10 11:05:00,4
carriage,2014-12-10 11:06:00,8
carriage,2014-12-10 11:07:00,6
carriage,2014-12-10 11:08:00,19
carriage,2014-12-10 11:09:00,28
carriage,2014-12-10 11:10:00,47
carriage,2014-12-10 11:11:00,69
carriage,2014-12-10 11:12:00,77
carriage,2014-12-10 11:13:00,66
carriage,2014-12-10 11:14:00,66
carriage,2014-12-10 11:15:00,46
carriage,2014-12-10 11:16:00,29
carriage,2014-12-10 11:17:00,51
carriage,2014-12-10 11:18:00,40
carriage,2014-12-10 11:19:00,27
carriage,2014-12-10 11:20:00,19
carriage,2014-12-10 11:21:00,37
carriage,2014-12-10 11:22:00,45
carriage,2014-12-10 11:23:00,39
carriage,2014-12-10 11:24:00,48
carriage,2014-12-10 11:25:00,60
carriage,2014-12-10 11:26:00,77
carriage,2014-12-10 11:27:00,49
carriage,2014-12-10 11:28:00,52
carriage,2014-12-10 11:29:00,38
carriage,2014-12-10 11:30:00,28
carriage,2014-12-10 11:31:00,24
carriage,2014-12-10 11:32:00,20
carriage,2014-12-10 11:33:00,19
carriage,2014-12-10 11:34:00,34
carriage,2014-12-10 11:35:00,20
carriage,2014-12-10 11:36:00,14
carriage,2014-12-10 11:37:00,13
carriage,2014-12-10 11:38:00,10
carriage,2014-12-10 11:39:00,11
carriage,2014-12-10 11:40:00,16
carriage,2014-12-10 11:41:00,18
carriage,2014-12-10 11:42:00,29
carriage,2014-12-10 11:43:00,93
carriage,2014-12-10 11:44:00,99
carriage,2014-12-10 11:45:00,75
carriage,2014-12-10 11:46:00,69
carriage,2014-12-10 11:47:00,50
carriage,2014-12-10 11:48:00,36
carriage,2014-12-10 11:49:00,17
carriage,2014-12-10 11:50:00,16
carriage,2014-12-10 11:51:00,15
carriage,2014-12-10 11:52:00,17
carriage,2014-12-10 11:53:00,11
carriage,2014-12-10 11:54:00,8
carriage,2014-12-10 11:55:00,9
carriage,2014-12-10 11:56:00,5
carriage,2014-12-10 11:57:00,4
carriage,2014-12-10 11:58:00,5
carriage,2014-12-10 11:59:00,4
carriage,2014-12-10 12:00:00,4
carriage,2014-12-10 12:01:00,4
carriage,2014-12-10 12:02:00,3
carriage,2014-12-10 12:03:00,3
carriage,2014-12-10 12:04:00,7
carriage,2014-12-10 12:05:00,13
carriage,2014-12-10 12:06:00,5
carriage,2014-12-10 12:07:00,13
carriage,2014-12-10 12:08:00,4
carriage,2014-12-10 12:09:00,3
carriage,2014-12-10 12:10:00,3
carriage,2014-12-10 12:11:00,3
carriage,2014-12-10 12:12:00,4
carriage,2014-12-10 12:13:00,7
carriage,2014-12-10 12:14:00,4
carriage,2014-12-10 12:15:00,8
carriage,2014-12-10 12:16:00,6
carriage,2014-12-10 12:17:00,4
carriage,2014-12-10 12:18:00,6
carriage,2014-12-10 12:19:00,5
carriage,2014-12-10 12:20:00,3
carriage,2014-12-10 12:21:00,7
carriage,2014-12-10 12:22:00,8
carriage,2014-12-10 12:23:00,12
carriage,2014-12-10 12:24:00,8
carriage,2014-12-10 12:25:00,10
carriage,2014-12-10 12:26:00,8
carriage,2014-12-10 12:27:00,11
carriage,2014-12-10 12:28:00,15
carriage,2014-12-10 12:29:00,18
carriage,2014-12-10 12:30:00,15
carriage,2014-12-10 12:31:00,13
carriage,2014-12-10 12:32:00,39
carriage,2014-12-10 12:33:00,36
carriage,2014-12-10 12:34:00,51
carriage,2014-12-10 12:35:00,53
carriage,2014-12-10 12:36:00,74
carriage,2014-12-10 12:37:00,80
carriage,2014-12-10 12:38:00,96
carriage,2014-12-10 12:39:00,76
carriage,2014-12-10 12:40:00,64
carriage,2014-12-10 12:41:00,40
carriage,2014-12-10 12:42:00,34
carriage,2014-12-10 12:43:00,26
carriage,2014-12-10 12:44:00,18
carriage,2014-12-10 12:45:00,26
carriage,2014-12-10 12:46:00,26
carriage,2014-12-10 12:47:00,27
carriage,2014-12-10 12:48:00,30
carriage,2014-12-10 12:49:00,22
carriage,2014-12-10 12:50:00,22
carriage,2014-12-10 12:51:00,31
carriage,2014-12-10 12:52:00,33
carriage,2014-12-10 12:53:00,29
carriage,2014-12-10 12:54:00,38
carriage,2014-12-10 12:55:00,53
carriage,2014-12-10 12:56:00,53
carriage,2014-12-10 12:57:00,41
carriage,2014-12-10 12:58:00,40
carriage,2014-12-10 12:59:00,33
carriage,2014-12-10 13:00:00,19
carriage,2014-12-10 13:01:00,32
carriage,2014-12-10 13:02:00,36
carriage,2014-12-10 13:03:00,34
carriage,2014-12-10 13:04:00,56
carriage,2014-12-10 13:05:00,51
carriage,2014-12-10 13:06:00,66
carriage,2014-12-10 13:07:00,83
carriage,2014-12-10 13:08:00,62
carriage,2014-12-10 13:09:00,58
carriage,2014-12-10 13:10:00,53
carriage,2014-12-10 13:11:00,45
carriage,2014-12-10 13:12:00,41
carriage,2014-12-10 13:13:00,36
carriage,2014-12-10 13:14:00,24
carriage,2014-12-10 13:15:00,21
carriage,2014-12-10 13:16:00,16
carriage,2014-12-10 13:17:00,13
carriage,2014-12-10 13:18:00,14
carriage,2014-12-10 13:19:00,12
carriage,2014-12-10 13:20:00,8
carriage,2014-12-10 13:21:00,13
carriage,2014-12-10 13:22:00,10
carriage,2014-12-10 13:23:00,16
carriage,2014-12-10 13:24:00,22
carriage,2014-12-10 13:25:00,15
carriage,2014-12-10 13:26:00,13
carriage,2014-12-10 13:27:00,20
carriage,2014-12-10 13:28:00,13
carriage,2014-12-10 13:29:00,13
carriage,2014-12-10 13:30:00,12
carriage,2014-12-10 13:31:00,13
carriage,2014-12-16 08:08:00,20
carriage,2014-12-16 08:09:00,29
carriage,2014-12-16 08:10:00,44
carriage,2014-12-16 08:11:00,31
carriage,2014-12-16 08:12:00,61
carriage,2014-12-16 08:13:00,111
carriage,2014-12-16 08:14:00,138
carriage,2014-12-16 08:15:00,200
carriage,2014-12-16 08:16:00,243
carriage,2014-12-16 08:17:00,243
carriage,2014-12-16 08:18:00,247
carriage,2014-12-16 08:19:00,226
carriage,2014-12-16 08:20:00,209
carriage,2014-12-16 08:21:00,196
carriage,2014-12-16 08:22:00,190
carriage,2014-12-16 08:23:00,160
carriage,2014-12-16 08:24:00,165
carriage,2014-12-16 08:25:00,170
carriage,2014-12-16 08:26:00,154
carriage,2014-12-16 08:27:00,165
carriage,2014-12-16 08:28:00,171
carriage,2014-12-16 08:29:00,181
carriage,2014-12-16 08:30:00,205
carriage,2014-12-16 08:31:00,226
carriage,2014-12-16 08:32:00,212
carriage,2014-12-16 08:33:00,266
carriage,2014-12-16 08:34:00,287
carriage,2014-12-16 08:35:00,301
carriage,2014-12-16 08:36:00,304
carriage,2014-12-16 08:37:00,257
carriage,2014-12-16 08:38:00,251
carriage,2014-12-16 08:39:00,257
carriage,2014-12-16 08:40:00,268
carriage,2014-12-16 08:41:00,271
carriage,2014-12-16 08:42:00,266
carriage,2014-12-16 08:43:00,256
carriage,2014-12-16 08:44:00,245
carriage,2014-12-16 08:45:00,210
carriage,2014-12-16 08:46:00,182
carriage,2014-12-16 08:47:00,203
carriage,2014-12-16 08:48:00,191
carriage,2014-12-16 08:49:00,190
carriage,2014-12-16 08:50:00,181
carriage,2014-12-16 08:51:00,217
carriage,2014-12-16 08:52:00,205
carriage,2014-12-16 08:53:00,201
carriage,2014-12-16 08:54:00,214
carriage,2014-12-16 08:55:00,213
carriage,2014-12-16 08:56:00,214
carriage,2014-12-16 08:57:00,223
carriage,2014-12-16 08:58:00,213
carriage,2014-12-16 08:59:00,192
carriage,2014-12-16 09:00:00,132
carriage,2014-12-16 09:01:00,161
carriage,2014-12-16 09:02:00,180
carriage,2014-12-16 09:03:00,177
carriage,2014-12-16 09:04:00,102
carriage,2014-12-16 09:05:00,71
carriage,2014-12-16 09:06:00,67
carriage,2014-12-16 09:07:00,58
carriage,2014-12-16 09:08:00,57
carriage,2014-12-16 09:09:00,49
carriage,2014-12-16 09:10:00,50
carriage,2014-12-16 09:11:00,44
carriage,2014-12-16 09:12:00,43
carriage,2014-12-16 09:13:00,39
carriage,2014-12-16 09:14:00,38
carriage,2014-12-16 09:15:00,42
carriage,2014-12-16 09:16:00,31
carriage,2014-12-16 09:17:00,27
carriage,2014-12-16 09:18:00,27
carriage,2014-12-16 09:19:00,28
carriage,2014-12-16 09:20:00,20
carriage,2014-12-16 09:21:00,19
carriage,2014-12-16 09:22:00,24
carriage,2014-12-16 09:23:00,20
carriage,2014-12-16 09:24:00,20
carriage,2014-12-16 09:25:00,21
carriage,2014-12-16 09:26:00,22
carriage,2014-12-16 09:27:00,20
carriage,2014-12-16 09:28:00,19
carriage,2014-12-16 09:29:00,22
carriage,2014-12-16 09:30:00,23
carriage,2014-12-16 09:31:00,29
carriage,2014-12-16 09:32:00,35
carriage,2014-12-16 09:33:00,33
carriage,2014-12-16 09:34:00,40
carriage,2014-12-16 09:35:00,42
carriage,2014-12-16 09:36:00,41
carriage,2014-12-16 09:37:00,45
carriage,2014-12-16 09:38:00,40
carriage,2014-12-16 09:39:00,37
carriage,2014-12-16 09:40:00,36
carriage,2014-12-16 09:41:00,44
carriage,2014-12-16 09:42:00,38
carriage,2014-12-16 09:43:00,56
carriage,2014-12-16 09:44:00,132
carriage,2014-12-16 09:45:00,147
carriage,2014-12-16 09:46:00,154
carriage,2014-12-16 09:47:00,128
carriage,2014-12-16 09:48:00,157
carriage,2014-12-16 09:49:00,163
carriage,2014-12-16 09:50:00,186
carriage,2014-12-16 09:51:00,183
carriage,2014-12-16 09:52:00,203
carriage,2014-12-16 09:53:00,185
carriage,2014-12-16 09:54:00,195
carriage,2014-12-16 09:55:00,188
carriage,2014-12-16 09:56:00,210
carriage,2014-12-16 09:57:00,177
carriage,2014-12-16 09:58:00,178
carriage,2014-12-16 09:59:00,166
carriage,2014-12-16 10:00:00,187
carriage,2014-12-16 10:01:00,147
carriage,2014-12-16 10:02:00,145
carriage,2014-12-16 10:03:00,145
carriage,2014-12-16 10:04:00,139
carriage,2014-12-16 10:05:00,161
carriage,2014-12-16 10:06:00,237
carriage,2014-12-16 10:07:00,274
carriage,2014-12-16 10:08:00,177
carriage,2014-12-16 10:09:00,206
carriage,2014-12-16 10:10:00,251
carriage,2014-12-16 10:11:00,229
carriage,2014-12-16 10:12:00,243
carriage,2014-12-16 10:13:00,212
carriage,2014-12-16 10:14:00,250
carriage,2014-12-16 10:15:00,225
carriage,2014-12-16 10:16:00,247
carriage,2014-12-16 10:17:00,196
carriage,2014-12-16 10:18:00,166
carriage,2014-12-16 10:19:00,204
carriage,2014-12-16 10:20:00,197
carriage,2014-12-16 10:21:00,191
carriage,2014-12-16 10:22:00,175
carriage,2014-12-16 10:23:00,145
carriage,2014-12-16 10:24:00,153
carriage,2014-12-16 10:25:00,142
carriage,2014-12-16 10:26:00,156
carriage,2014-12-16 10:27:00,145
carriage,2014-12-16 10:28:00,153
carriage,2014-12-16 10:29:00,147
carriage,2014-12-16 10:30:00,145
carriage,2014-12-16 10:31:00,159
carriage,2014-12-16 10:32:00,165
carriage,2014-12-16 10:33:00,178
carriage,2014-12-16 10:34:00,181
carriage,2014-12-16 10:35:00,173
carriage,2014-12-16 10:36:00,173
carriage,2014-12-16 10:37:00,169
carriage,2014-12-16 10:38:00,173
carriage,2014-12-16 10:39:00,135
carriage,2014-12-16 10:40:00,135
carriage,2014-12-16 10:41:00,109
carriage,2014-12-16 10:42:00,115
carriage,2014-12-16 10:43:00,76
carriage,2014-12-16 10:44:00,40
carriage,2014-12-16 10:45:00,48
carriage,2014-12-16 10:46:00,39
carriage,2014-12-16 10:47:00,43
carriage,2014-12-16 10:48:00,39
carriage,2014-12-16 10:49:00,31
carriage,2014-12-16 10:50:00,33
carriage,2014-12-16 10:51:00,35
carriage,2014-12-16 10:52:00,34
carriage,2014-12-16 10:53:00,38
carriage,2014-12-16 10:54:00,33
carriage,2014-12-16 10:55:00,34
carriage,2014-12-16 10:56:00,30
carriage,2014-12-16 10:57:00,34
carriage,2014-12-16 10:58:00,29
carriage,2014-12-16 10:59:00,30
carriage,2014-12-16 11:00:00,34
carriage,2014-12-16 11:01:00,36
carriage,2014-12-16 11:02:00,32
carriage,2014-12-16 11:03:00,26
carriage,2014-12-16 11:04:00,25
carriage,2014-12-16 11:05:00,29
carriage,2014-12-16 11:06:00,27
carriage,2014-12-16 11:07:00,36
carriage,2014-12-16 11:08:00,29
carriage,2014-12-16 11:09:00,30
carriage,2014-12-16 11:10:00,28
carriage,2014-12-16 11:11:00,27
carriage,2014-12-16 11:12:00,29
carriage,2014-12-16 11:13:00,36
carriage,2014-12-16 11:14:00,33
carriage,2014-12-16 11:15:00,31
carriage,2014-12-16 11:16:00,35
carriage,2014-12-16 11:17:00,37
carriage,2014-12-16 11:18:00,32
carriage,2014-12-16 11:19:00,28
carriage,2014-12-16 11:20:00,28
carriage,2014-12-16 11:21:00,49
carriage,2014-12-16 11:22:00,87
carriage,2014-12-16 11:23:00,109
carriage,2014-12-16 11:24:00,140
carriage,2014-12-16 11:25:00,146
carriage,2014-12-16 11:26:00,171
carriage,2014-12-16 11:27:00,162
carriage,2014-12-16 11:28:00,170
carriage,2014-12-16 11:29:00,170
carriage,2014-12-16 11:30:00,183
carriage,2014-12-16 11:31:00,176
carriage,2014-12-16 11:32:00,175
carriage,2014-12-16 11:33:00,189
carriage,2014-12-16 11:34:00,191
carriage,2014-12-16 11:35:00,171
carriage,2014-12-16 11:36:00,183
carriage,2014-12-16 11:37:00,146
carriage,2014-12-16 11:38:00,139
carriage,2014-12-16 11:39:00,122
carriage,2014-12-16 11:40:00,135
carriage,2014-12-16 11:41:00,124
carriage,2014-12-16 11:42:00,141
carriage,2014-12-16 11:43:00,158
carriage,2014-12-16 11:44:00,154
carriage,2014-12-16 11:45:00,193
carriage,2014-12-16 11:46:00,194
carriage,2014-12-16 11:47:00,195
carriage,2014-12-16 11:48:00,191
carriage,2014-12-16 11:49:00,187
carriage,2014-12-16 11:50:00,208
carriage,2014-12-16 11:51:00,183
carriage,2014-12-16 11:52:00,172
carriage,2014-12-16 11:53:00,173
carriage,2014-12-16 11:54:00,161
carriage,2014-12-16 11:55:00,176
carriage,2014-12-16 11:56:00,157
carriage,2014-12-16 11:57:00,198
carriage,2014-12-16 11:58:00,159
carriage,2014-12-16 11:59:00,149
carriage,2014-12-16 12:00:00,133
carriage,2014-12-16 12:01:00,129
carriage,2014-12-16 12:02:00,131
carriage,2014-12-16 12:03:00,106
carriage,2014-12-16 12:04:00,86
carriage,2014-12-16 12:05:00,97
carriage,2014-12-16 12:06:00,127
carriage,2014-12-16 12:07:00,135
carriage,2014-12-16 12:08:00,153
carriage,2014-12-16 12:09:00,154
carriage,2014-12-16 12:10:00,169
