environment,minute,bc,pnum,pdia,pm25,pm10,pnum_rsquare,pdia_rsquare,pm25_rsquare,pnum_ci,pdia_ci,pm25_ci
underground,1,5.3,12.5,66,60,52,0.3,0.5,4.2,0.3,0.5,4.2
underground,2,11.2,15.0,68,73,74,0.3,0.6,5.5,0.3,0.6,5.5
underground,3,21.8,15.3,72,155,125,0.3,0.5,5.0,0.3,0.5,5.0
underground,4,25.5,15.8,75,204,162,0.3,0.5,8.3,0.3,0.5,8.3
underground,5,30.1,16.4,78,235,179,0.3,0.5,7.8,0.3,0.5,7.8
underground,6,37.5,15.8,81,275,196,0.3,0.5,10.1,0.3,0.5,10.1
underground,7,37.5,15.4,84,325,205,0.3,0.5,11.1,0.3,0.5,11.1
underground,8,37.9,14.8,85,348,211,0.3,0.6,8.8,0.3,0.6,8.8
underground,9,37.6,14.8,85,341,213,0.3,0.6,8.5,0.3,0.6,8.5
underground,10,36.4,15.1,85,327,198,0.4,0.7,8.1,0.4,0.7,8.1
underground,11,34.8,16.1,84,310,193,0.4,0.7,8.8,0.4,0.7,8.8
underground,12,34.3,16.3,83,293,194,0.4,0.6,8.9,0.4,0.6,8.9
underground,13,35.4,15.6,84,281,183,0.4,0.6,7.3,0.4,0.6,7.3
underground,14,32.0,14.1,86,283,180,0.4,0.7,8.3,0.4,0.7,8.3
oxford_street,15,32.9,13.8,84,260,169,0.4,0.7,8.4,0.4,0.7,8.4
oxford_street,16,15.14,14.6,78,89,97,0.7,1.0,5.7,0.7,1.0,4.3
oxford_street,17,5.88,18.7,76,55,58,0.9,1.1,5.5,0.5,1.0,4.1
oxford_street,18,5.96,17.8,73,30,42,0.9,1.0,2.3,0.4,1.0,1.8
oxford_street,19,5.87,18.0,71,24,40,0.8,1.0,2.2,0.4,0.9,1.9
oxford_street,20,5.47,18.1,69,21,39,1.0,1.0,2.2,0.4,0.9,2.2
oxford_street,21,6.30,17.2,68,23,41,0.7,0.9,2.3,0.3,1.2,2.1
oxford_street,22,5.97,15.1,67,21,42,0.6,0.8,1.9,0.4,1.3,2.1
oxford_street,23,6.48,18.8,67,22,41,0.8,0.9,2.0,0.5,1.3,2.3
oxford_street,24,6.52,22.0,66,22,40,0.8,0.9,1.8,0.4,1.4,2.3
oxford_street,25,7.11,16.3,66,21,40,0.7,1.0,1.8,0.4,1.3,2.4
oxford_street,26,6.81,18.7,64,21,45,0.9,1.1,1.9,0.5,1.2,2.3
oxford_street,27,6.34,20.8,64,24,41,0.8,1.3,1.8,0.3,1.3,2.4
oxford_street,28,6.88,23.1,62,20,47,1.2,1.3,1.7,0.3,1.3,2.2
