exposure,pnum,pdia,bc,pm25,pm10,environment,minute
1,13858,63,5.622,6.6,30,underground,1
1,18751,61,29.891,44.5,30,underground,2
1,16218,66,52.303,84.6,141,underground,3
1,16272,68,55.709,88.2,180,underground,4
1,14346,72,54.287,91.9,166,underground,5
1,13596,75,45.744,80.9,169,underground,6
1,14074,78,40.923,88.2,144,underground,7
1,14047,75,40.28,91.9,124,underground,8
1,13955,73,38.703,84.6,121,underground,9
1,15073,70,38.498,115.5,117,underground,10
1,15779,72,45.279,108.2,152,underground,11
1,20011,71,62.69,137.4,156,underground,12
1,19097,72,64.21,142.8,194,underground,13
1,17539,75,63.496,143,183,underground,14
1,15422,84,61.999,144.8,167,underground,15
1,15521,86,62.535,141.2,165,underground,16
1,16322,84,56.447,139.4,185,underground,17
1,17472,81,55.153,128.5,158,underground,18
1,12583,75,11.928,12.6,122,underground,19
1,26056,70,2.206,7.2,34,hyde_park,1
1,9798,67,2.485,7.8,26,hyde_park,2
1,5801,67,1.47,7.2,24,hyde_park,3
1,5766,66,1.778,7.2,24,hyde_park,4
1,5212,72,2.476,6.6,22,hyde_park,5
1,4675,76,2.049,6,22,hyde_park,6
1,3888,82,2.147,6.6,23,hyde_park,7
1,3476,91,2.466,6.6,25,hyde_park,8
1,3832,89,2.701,6.6,25,hyde_park,9
1,3667,88,2.227,6.6,22,hyde_park,10
1,4112,84,2.725,6.6,23,hyde_park,11
1,4974,82,3.909,6,22,hyde_park,12
1,10033,78,7.055,7.2,24,hyde_park,13
1,9143,73,10.593,8.4,27,hyde_park,14
1,8646,72,8.268,7.8,28,hyde_park,15
1,7517,69,6.024,7.2,27,hyde_park,16
1,10149,68,9.356,7.8,27,hyde_park,17
1,10716,64,6.293,7.2,29,hyde_park,18
1,10485,63,8.176,7.2,28,hyde_park,19
1,15163,62,8.408,7.2,30,hyde_park,20
1,11631,61,6.825,7.2,30,hyde_park,21
1,8665,62,4.641,7.2,29,hyde_park,22
1,8009,69,5.295,6.6,27,hyde_park,23
1,6978,71,4.214,7.2,26,hyde_park,24
1,7383,73,3.181,7.2,29,hyde_park,25
1,9049,68,5.467,7.8,29,hyde_park,26
1,9510,70,7.109,7.2,29,hyde_park,27
1,10537,67,8.17,7.2,29,hyde_park,28
1,5898,69,3.354,6,31,hyde_park,29
1,5619,72,2.632,6,27,hyde_park,30
1,5030,78,2.301,7.2,29,hyde_park,31
1,4906,83,2.844,6.6,28,hyde_park,32
1,5100,81,2.262,7.2,31,hyde_park,33
1,4991,78,3.007,7.2,28,hyde_park,34
1,4651,83,2.558,6,28,hyde_park,35
1,5649,77,3.117,6,29,hyde_park,36
1,5066,79,3.275,6.6,26,hyde_park,37
1,4898,79,2.989,6,25,hyde_park,38
1,4739,80,2.705,7.2,23,hyde_park,39
1,4375,85,2.673,6,22,hyde_park,40
1,3757,91,2.543,4.8,20,hyde_park,41
1,3725,93,1.959,4.2,11,hyde_park,42
1,3912,84,1.71,3.6,13,hyde_park,43
1,4146,77,2.287,3,9,hyde_park,44
1,4018,80,2.402,6,10,hyde_park,45
1,3718,85,2.191,3.6,7,hyde_park,46
1,3634,81,2.182,3,8,hyde_park,47
1,4046,77,1.894,3,6,hyde_park,48
1,4395,77,2.508,3.6,7,hyde_park,49
1,5190,72,2.625,3.6,8,hyde_park,50
1,5345,69,2.302,3,8,hyde_park,51
1,5946,68,3.282,3,10,hyde_park,52
1,6129,69,2.722,3,11,hyde_park,53
1,5869,76,3.364,3,11,hyde_park,54
1,6778,70,3.032,3,10,hyde_park,55
1,6744,69,3.053,4.2,12,hyde_park,56
1,5751,69,2.6,3,10,hyde_park,57
1,5759,69,2.867,2.4,10,hyde_park,58
1,5825,67,2.632,2.4,9,hyde_park,59
1,5177,71,2.471,2.4,8,hyde_park,60
1,5536,65,2.272,2.4,12,hyde_park,61
1,4761,68,1.432,2.4,11,hyde_park,62
1,5420,66,1.903,2.4,5,hyde_park,63
1,5938,64,2.178,2.4,8,hyde_park,64
1,5977,61,2.462,2.4,7,hyde_park,65
1,6442,59,1.517,1.8,6,hyde_park,66
1,6614,62,1.807,2.4,6,hyde_park,67
1,6212,64,1.727,2.4,8,hyde_park,68
1,7043,62,2.073,2.4,6,hyde_park,69
1,7696,59,2.325,2.4,7,hyde_park,70
1,8339,62,2.875,2.4,6,hyde_park,71
1,7888,63,1.742,1.8,4,hyde_park,72
1,8577,61,2.706,2.4,4,hyde_park,73
1,8551,63,2.286,2.4,3,hyde_park,74
1,9050,58,2.292,3,5,hyde_park,75
1,8016,61,3.236,1.8,5,hyde_park,76
1,7782,59,2.025,2.4,3,hyde_park,77
1,8248,57,3.275,2.4,6,hyde_park,78
1,6920,59,1.792,1.8,6,hyde_park,79
1,7939,59,2.59,1.8,3,hyde_park,80
1,7686,58,2.438,1.8,3,hyde_park,81
1,7146,59,2.405,2.4,6,hyde_park,82
1,7220,62,2.406,2.4,2,hyde_park,83
1,6344,60,1.65,1.8,5,hyde_park,84
1,6068,62,1.118,2.4,3,hyde_park,85
1,6641,61,4.041,2.4,4,hyde_park,86
1,6224,65,3.341,2.4,7,hyde_park,87
1,5773,68,3.562,2.4,8,hyde_park,88
1,4916,72,2.452,2.4,8,hyde_park,89
1,3882,74,3.476,2.4,6,hyde_park,90
1,4317,74,2.409,1.2,2,hyde_park,91
1,5567,68,3.503,2.4,2,hyde_park,92
1,6034,63,3.626,2.4,4,hyde_park,93
1,6354,61,3.228,1.8,4,hyde_park,94
1,7124,58,3.653,2.4,2,hyde_park,95
1,7907,60,2.981,2.4,2,hyde_park,96
1,7420,60,3.738,1.8,3,hyde_park,97
1,8205,63,2.043,1.8,3,hyde_park,98
1,7830,67,3.954,1.8,3,hyde_park,99
1,7196,69,3.759,2.4,5,hyde_park,100
1,8809,69,3.583,2.4,3,hyde_park,101
1,6478,75,4.443,2.4,6,hyde_park,102
1,5738,79,3.465,3,4,hyde_park,103
1,4643,86,1.863,1.8,3,hyde_park,104
1,5069,79,3.144,1.8,4,hyde_park,105
1,5362,75,3.865,2.4,3,hyde_park,106
1,6165,72,3.444,2.4,3,hyde_park,107
1,5716,65,2.883,1.8,3,hyde_park,108
1,6210,60,2.677,1.2,4,hyde_park,109
1,5972,63,3.239,2.4,2,hyde_park,110
1,5959,63,3.114,1.8,3,hyde_park,111
1,5423,62,3.407,2.4,7,hyde_park,112
1,6602,59,2.113,1.8,1,hyde_park,113
1,5952,61,3.154,,4,hyde_park,114
1,5058,68,3.46,,4,hyde_park,115
1,6523,65,10.907,,3,hyde_park,116
1,6784,61,3.661,,2,hyde_park,117
1,6707,60,3.212,,4,hyde_park,118
1,6540,58,1.724,,3,hyde_park,119
1,6582,56,2.685,,3,hyde_park,120
1,6756,55,2.945,,3,hyde_park,121
1,6291,56,3.395,,6,hyde_park,122
1,6124,57,3.718,,4,hyde_park,123
1,6370,57,5.313,,5,hyde_park,124
1,7093,56,4.668,,3,hyde_park,125
1,6919,54,3.5,,9,hyde_park,126
1,6606,57,3.221,,4,hyde_park,127
1,6156,60,0.823,,4,hyde_park,128
1,6139,63,2.431,,5,hyde_park,129
1,6456,65,1.667,,8,hyde_park,130
1,6857,64,1.668,,7,hyde_park,131
1,5690,68,-2.376,,6,hyde_park,132
1,6649,62,0.629,,3,hyde_park,133
1,6391,59,-0.593,,7,hyde_park,134
1,6360,61,2.326,,3,hyde_park,135
1,6068,65,0.392,,4,hyde_park,136
1,5682,70,2.486,,3,hyde_park,137
1,5541,73,2.178,,4,hyde_park,138
1,5065,77,0.387,,3,hyde_park,139
1,5729,71,1.165,,5,hyde_park,140
1,7725,65,2.523,,4,hyde_park,141
1,15463,63,5.078,,4,hyde_park,142
1,12228,62,8.232,,10,hyde_park,143
1,10561,64,5.794,,14,hyde_park,144
1,8121,66,3.774,,6,hyde_park,145
