segment,start_station,end_station,line_proximity,line,pm1,pm25,pm5,pm10,filter_line,filter_ds,pm25_fraction,pm1_fraction
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.127,0.161,0.171,0.187,1,1,0.8609625668,0.679144385
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.135,0.171,0.182,0.195,1,1,0.8769230769,0.6923076923
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.132,0.168,0.178,0.186,1,1,0.9032258065,0.7096774194
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.116,0.149,0.159,0.169,1,1,0.8816568047,0.6863905325
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.059,0.075,0.078,0.087,1,1,0.8620689655,0.6781609195
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.063,0.079,0.084,0.092,1,1,0.8586956522,0.6847826087
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.051,0.063,0.068,0.076,1,1,0.8289473684,0.6710526316
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.058,0.072,0.077,0.082,1,1,0.8780487805,0.7073170732
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.063,0.079,0.084,0.09,1,1,0.8777777778,0.7
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.073,0.088,0.096,0.122,1,1,0.7213114754,0.5983606557
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.067,0.082,0.087,0.1,1,1,0.82,0.67
NG CW,North Greenwich,Canary Wharf,0,Jubilee,0.068,0.086,0.089,0.1,1,1,0.86,0.68
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.073,0.091,0.095,0.1,1,1,0.91,0.73
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.08,0.098,0.103,0.116,1,1,0.8448275862,0.6896551724
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.101,0.125,0.131,0.135,1,1,0.9259259259,0.7481481481
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.113,0.139,0.146,0.154,1,1,0.9025974026,0.7337662338
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.119,0.146,0.154,0.162,1,1,0.9012345679,0.7345679012
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.119,0.146,0.152,0.157,1,1,0.9299363057,0.7579617834
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.127,0.156,0.163,0.171,1,1,0.9122807018,0.7426900585
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.127,0.158,0.165,0.176,1,1,0.8977272727,0.7215909091
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.122,0.148,0.155,0.163,1,1,0.9079754601,0.7484662577
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.12,0.147,0.154,0.167,1,1,0.880239521,0.7185628743
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.12,0.146,0.152,0.158,1,1,0.9240506329,0.7594936709
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.123,0.15,0.156,0.166,1,1,0.9036144578,0.7409638554
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.114,0.142,0.149,0.155,1,1,0.9161290323,0.735483871
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.112,0.137,0.143,0.151,1,1,0.9072847682,0.7417218543
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.114,0.139,0.146,0.155,1,1,0.8967741935,0.735483871
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.111,0.137,0.142,0.147,1,1,0.9319727891,0.7551020408
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.11,0.134,0.14,0.151,1,1,0.8874172185,0.7284768212
CW CW,Canary Wharf,Canada Water,1,Jubilee,0.11,0.134,0.141,0.146,1,1,0.9178082192,0.7534246575
CW B,Canada Water,Bermondsey,2,Jubilee,0.109,0.133,0.138,0.142,1,1,0.9366197183,0.7676056338
CW B,Canada Water,Bermondsey,2,Jubilee,0.116,0.141,0.145,0.154,1,1,0.9155844156,0.7532467532
CW B,Canada Water,Bermondsey,2,Jubilee,0.118,0.143,0.149,0.154,1,1,0.9285714286,0.7662337662
CW B,Canada Water,Bermondsey,2,Jubilee,0.118,0.144,0.151,0.157,1,1,0.9171974522,0.7515923567
CW B,Canada Water,Bermondsey,2,Jubilee,0.121,0.148,0.155,0.161,1,1,0.9192546584,0.751552795
CW B,Canada Water,Bermondsey,2,Jubilee,0.124,0.15,0.157,0.166,1,1,0.9036144578,0.7469879518
B LB,Bermondsey,London Bridge,3,Jubilee,0.121,0.148,0.154,0.163,1,1,0.9079754601,0.7423312883
B LB,Bermondsey,London Bridge,3,Jubilee,0.121,0.146,0.153,0.164,1,1,0.8902439024,0.737804878
B LB,Bermondsey,London Bridge,3,Jubilee,0.121,0.147,0.154,0.166,1,1,0.8855421687,0.7289156627
B LB,Bermondsey,London Bridge,3,Jubilee,0.123,0.149,0.156,0.163,1,1,0.9141104294,0.754601227
B LB,Bermondsey,London Bridge,3,Jubilee,0.127,0.156,0.162,0.17,1,1,0.9176470588,0.7470588235
