station_name,ground_level,line,raw_platform_depth,platform_depth
Baker Street,27,Bakerloo,106.7,20.3
Charing Cross,12,Bakerloo,88.19,23.81
Edgware Road Bakerloo,32,Bakerloo,107.13,24.87
Elephant & Castle,3,Bakerloo,80.16,22.84
Embankment,5,Bakerloo,85.13,19.87
Harlesden,38,Bakerloo,131.8,6.2
Harrow & Wealdstone,52,Bakerloo,154.2,-2.2
Kensal Green,42,Bakerloo,135.4,6.6
Kenton,56,Bakerloo,149.4,6.6
Kilburn Park,27,Bakerloo,119.52,7.48
Lambeth North,3,Bakerloo,86.475,16.525
Maida Vale,31,Bakerloo,116.58,14.42
Marylebone,29,Bakerloo,106.37,22.63
North Wembley,48,Bakerloo,142,6
Oxford Circus,27,Bakerloo,104.69,22.31
Paddington,25,Bakerloo,109.27,15.73
Piccadilly Circus,19,Bakerloo,93.8,25.2
Queen's Park,38,Bakerloo,132.4,5.6
Regent's Park,28,Bakerloo,103.185,24.815
South Kenton,43,Bakerloo,146.4,-3.4
Stonebridge Park,24,Bakerloo,131.5,-7.5
Warwick Avenue,27,Bakerloo,112.47,14.53
Waterloo,4,Bakerloo,86.63,17.37
Wembley Central,45,Bakerloo,138.5,6.5
Willesden Junction,40,Bakerloo,134.5,5.5
Bank,14,Central,93.495,20.505
Barkingside,25,Central,125.5,-0.5
Bethnal Green,14,Central,98.03,15.97
Bond Street,22,Central,101,21
Buckhurst Hill,40,Central,134.9,5.1
Chancery Lane,20,Central,97.805,22.195
Chigwell,44,Central,139,5
Debden,37,Central,136.4,0.6
Ealing Broadway,33,Central,127.9,5.1
East Acton,12,Central,117.9,-5.9
Epping,81,Central,179.5,1.5
Fairlop,30,Central,135.2,-5.2
Gants Hill,25,Central,108.53,16.47
Grange Hill,55,Central,148.8,6.2
Greenford,22,Central,132.2,-10.2
Hainault,36,Central,141.2,-5.2
Hanger Lane,40,Central,131.9,8.1
Holborn,23,Central,96.755,26.245
Holland Park,14,Central,95.21,18.79
Lancaster Gate,18,Central,102.47,15.53
Leyton,15,Central,110,5
Leytonstone,23.2,Central,123.1,0.1
Liverpool Street,14,Central,92.47,21.53
Loughton,27,Central,129.6,-2.6
Marble Arch,27,Central,101.405,25.595
Mile End,12,Central,104.83,7.17
Newbury Park,19,Central,117,2
North Acton,33,Central,124.4,8.6
Northolt,43,Central,137.8,5.2
Notting Hill Gate,28,Central,99.88,28.12
Oxford Circus,27,Central,100.6,26.4
Perivale,20,Central,126.6,-6.6
Queensway,27,Central,103.095,23.905
Redbridge,12,Central,106.765,5.235
Roding Valley,31,Central,131.2,-0.2
Ruislip Gardens,37,Central,141.5,-4.5
Shepherd's Bush,6,Central,89.82,16.18
Snaresbrook,22,Central,127.4,-5.4
South Ruislip,37,Central,141.4,-4.4
South Woodford,28,Central,128.8,-0.8
St. Paul's,17,Central,92.59,24.41
Stratford,4,Central,107.2,-3.2
Theydon Bois,54,Central,153.1,0.9
Tottenham Court Road,25,Central,100.2,24.8
Wanstead,29,Central,109.635,19.365
West Acton,33,Central,127.4,5.6
West Ruislip,51,Central,145.1,5.9
White City,7,Central,105,2
Woodford,32,Central,131.1,0.9
Aldgate,16,Circle,108.8,7.2
Baker Street,27,Circle,120.5,6.5
Barbican,18,Circle,109.4,8.6
Bayswater,25,Circle,117.96,7.04
Blackfriars,8,Circle,100.7,7.3
Cannon Street,11,Circle,104.4,6.6
Edgware Road Circle,,Circle,124.8,5.2
Embankment,5,Circle,99.6,5.4
Euston Square,25,Circle,118.1,6.9
Farringdon,11,Circle,106.5,4.5
Gloucester Road,7,Circle,99.95,7.05
Goldhawk Road,5,Circle,111,-6
Great Portland Street,,Circle,121.4,7.6
Hammersmith,5,Circle,104.4,0.6
High Street Kensington,13,Circle,107.3,5.7
King's Cross St. Pancras,17,Circle,109.1,7.9
Ladbroke Grove,14,Circle,119.4,-5.4
Latimer Road,8,Circle,114,-6
Liverpool Street,14,Circle,107.4,6.6
Mansion House,14,Circle,105,9
Monument,14.3,Circle,106.2,8.1
Moorgate,14,Circle,108.5,5.5
Notting Hill Gate,28,Circle,119.4,8.6
Paddington,25,Circle,122.4,2.6
Royal Oak,27,Circle,121,6
Shepherd's Bush Market,6,Circle,111.9,-5.9
Sloane Square,6,Circle,97.6,8.4
South Kensington,,Circle,99.975,7.025
St. James's Park,4,Circle,98.2,5.8
Temple,5,Circle,99.2,5.8
Tower Hill,14,Circle,106.95,7.05
Victoria,4.6,Circle,97,7.6
Westbourne Park,28,Circle,122.5,5.5
Westminster,6,Circle,99,7
Wood Lane,6.7,Circle,113.1,-6.4
Acton Town,21,District,115.5,5.5
Aldgate East,14,District,105.01,8.99
Barking,9,District,106.4,2.6
Barons Court,4.6,District,101.9,2.7
Bayswater,25,District,117.96,7.04
Becontree,11,District,106.1,4.9
Blackfriars,8,District,100.7,7.3
Bow Road,12,District,106.8,5.2
Bromley-by-Bow,15,District,112.2,2.8
Cannon Street,11,District,104.4,6.6
Chiswick Park,10,District,113,-3
Dagenham East,10,District,106.4,3.6
Dagenham Heathway,11,District,106.2,4.8
Ealing Broadway,33,District,127.9,5.1
Ealing Common,29,District,124,5
Earl's Court,8,District,102.2,5.8
East Ham,11,District,105.7,5.3
East Putney,17,District,125,-8
Edgware Road Circle,30,District,124.8,5.2
Elm Park,18,District,112.2,5.7
Embankment,5,District,99.6,5.4
Fulham Broadway,4,District,98.7,5.3
Gloucester Road,7,District,99.95,7.05
Gunnersbury,10,District,106,4
Hammersmith,5,District,100.4,4.6
High Street Kensington,13,District,107.3,5.7
Hornchurch,24,District,118.2,5.8
Kensington (Olympia),4,District,102.1,1.9
Kew Gardens,8,District,106,2
Mansion House,14,District,105,9
Mile End,12,District,104.72,7.28
Monument,14.3,District,106.2,8.1
Notting Hill Gate,28,District,119.4,8.6
Paddington,25,District,118.8,6.2
Parsons Green,3,District,108,-5
Plaistow,9,District,102.4,6.6
Putney Bridge,4,District,111,-7
Ravenscourt Park,5,District,111,-6
Richmond,8,District,107,1
Sloane Square,6,District,97.6,8.4
South Kensington,7,District,99.975,7.025
Southfields,23,District,117,6
St. James's Park,4,District,98.2,5.8
Stamford Brook,5,District,111.4,-6.4
Stepney Green,10,District,102.82,7.18
Temple,5,District,99.2,5.8
Tower Hill,14,District,106.95,7.05
Turnham Green,5,District,110.9,-5.9
Upminster,28,District,119.2,8.8
Upminster Bridge,15,District,119.3,-4.3
Upney,12,District,106.3,5.7
Upton Park,11,District,105.3,5.7
Victoria,4.6,District,97,7.6
West Brompton,7,District,102.04,4.96
West Ham,1,District,104.7,-3.7
West Kensington,5,District,99.35,5.65
Westminster,6,District,99,7
Whitechapel,12,District,109.115,2.885
Wimbledon,23,District,119.3,3.7
Wimbledon Park,23,District,118.4,4.6
Abbey Road,0,Docklands Light Railway,-10,-10
All Saints,0,Docklands Light Railway,-10,-10
Bank,0,Docklands Light Railway,-10,-10
Beckton,0,Docklands Light Railway,-10,-10
Beckton Park,0,Docklands Light Railway,-10,-10
Blackwall,0,Docklands Light Railway,-10,-10
Bow Church,0,Docklands Light Railway,-10,-10
Canary Wharf,0,Docklands Light Railway,-10,-10
Canning Town,0,Docklands Light Railway,-10,-10
Crossharbour & London Arena,0,Docklands Light Railway,-10,-10
Custom House,0,Docklands Light Railway,-10,-10
