name,line,order,section,x,y
Abbey Road,Docklands Light Railway,4,6,539100.037830311,183357.862233058
Canning Town,Docklands Light Railway,1,6,539445,181346
Canning Town,Docklands Light Railway,1,7,539445,181346
Canning Town,Docklands Light Railway,1,8,539445,181346
East India,Docklands Light Railway,6,3,538702,180792
Elverson Road,Docklands Light Railway,12,5,537801,176292
Gallions Reach,Docklands Light Railway,8,7,543902,180992
Greenwich,Docklands Light Railway,10,5,538001,177292
Heron Quays,Docklands Light Railway,4,5,537401,180092
Island Gardens,Docklands Light Railway,8,5,538302,178292
Lewisham,Docklands Light Railway,13,5,538001,175991
Limehouse,Docklands Light Railway,2,3,536126,181107
Mudchute,Docklands Light Railway,7,5,537902,178692
Poplar,Docklands Light Railway,4,3,537702,180592
Poplar,Docklands Light Railway,1,4,537702,180592
Prince Regent,Docklands Light Railway,4,7,541202,180892
Pudding Mill Lane,Docklands Light Railway,6,4,537902,183592
Royal Albert,Docklands Light Railway,5,7,542102,180792
Royal Victoria,Docklands Light Railway,2,7,540147,180834
Shadwell,Docklands Light Railway,2,1,534937,180934
Shadwell,Docklands Light Railway,2,2,534937,180934
Shadwell,Docklands Light Railway,1,3,534937,180934
South Quay,Docklands Light Railway,5,5,537593,179815
Stratford,Docklands Light Railway,7,4,538573,184379
Stratford,Docklands Light Railway,6,6,538573,184379
Tower Gateway,Docklands Light Railway,1,2,533716,180828
West Ham,Docklands Light Railway,3,6,539184,182935
West India Quay,Docklands Light Railway,2,5,537502,180492
Westferry,Docklands Light Railway,3,3,537101,180792
Westferry,Docklands Light Railway,1,5,537101,180792
Langdon Park,Docklands Light Railway,3,4,537902.92930109,181433.384479856
Star Lane,Docklands Light Railway,2,6,539148.330566789,182101.661998873
Stratford High Street,Docklands Light Railway,5,6,538763.066034454,184005.224848849
Stratford International,Docklands Light Railway,7,6,538187.395918761,184757.38755113
West Silvertown,Docklands Light Railway,2,8,540472.949726526,180143.645517271
Pontoon Dock,Docklands Light Railway,3,8,541130.087577199,180099.972186564
London City Airport,Docklands Light Railway,4,8,542301.772492544,180287.216013281
King George V,Docklands Light Railway,5,8,543270.795940003,180132.03444224
Woolwich Arsenal,Docklands Light Railway,6,8,543740.245424279,178812.933783504
