nlc_code,station_name,station_borough,note,weekday_entry,weekday_entry_weight,saturday_entry,saturday_entry_weight,sunday_entry,sunday_entry_weight,weekday_exit,weekday_exit_weight,saturday_exit,satirday_exit_weight,sunday_exit,sunday_exit_weight,line_if_present
500,Acton Town,Ealing,,9861,253,7278,52,5000,59,9540,253,6919,52,4972,59,
502,Aldgate,City of London,,13645,253,3700,52,2911,59,12787,253,4796,52,3847,59,
503,Aldgate East,Tower Hamlets,,20579,253,15511,52,12110,59,19291,253,12510,52,9841,59,
505,Alperton,Brent,,4945,253,3476,52,2550,59,5089,253,3540,52,2569,59,
506,Amersham,Chiltern,,3680,253,1759,52,1169,59,4054,253,1985,52,1132,59,
507,Angel,Islington,,31112,253,22137,52,15424,59,30391,253,24267,52,14798,59,
508,Archway,Islington,,16017,253,11253,52,7739,59,14900,253,9598,52,7315,59,
509,Arnos Grove,Enfield,,7217,253,5852,52,4046,59,6674,253,5197,52,3778,59,
510,Arsenal,Islington,,4377,253,4682,52,2710,59,3724,253,3948,52,2448,59,
511,Baker Street,City of Westminster,,47234,253,31530,52,25035,59,45041,253,29563,52,23384,59,
512,Balham,Wandsworth,,22536,253,16888,52,10766,59,21872,253,15523,52,10562,59,
513,Bank & Monument,City of London,Figures exclude WC line passengers interchanging with other lines,107093,253,29506,52,13878,59,102041,253,28498,52,13001,59,
501,Barbican,City of London,,19757,253,7755,52,4786,59,19369,253,8025,52,4774,59,
514,Barking,Barking and Dagenham,,26914,253,18017,52,11626,59,24573,253,15259,52,10385,59,
515,Barkingside,Redbridge,,2505,253,1221,52,764,59,2208,253,1178,52,747,59,
516,Barons Court,Hammersmith and Fulham,,12462,253,7438,52,5166,59,11231,253,6120,52,4933,59,
517,Bayswater,City of Westminster,,7476,253,8002,52,6722,59,7014,253,7561,52,5894,59,
518,Becontree,Barking and Dagenham,,5843,253,3522,52,2233,59,5531,253,3329,52,2113,59,
519,Belsize Park,Camden,,10638,253,6357,52,4654,59,9131,253,5704,52,4276,59,
787,Bermondsey,Southwark,,16248,253,12196,52,8478,59,15056,253,11623,52,8559,59,
520,Bethnal Green,Tower Hamlets,,24766,253,22025,52,15749,59,23300,253,19679,52,15360,59,
521,Blackfriars,City of London,previous years counts adjusted by average change between years by zone,24574,253,9580,52,6893,59,23140,253,7613,52,5598,59,
522,Blackhorse Road,Waltham Forest,,13559,253,10055,52,6993,59,12522,253,8626,52,6400,59,
524,Bond Street,City of Westminster,,57022,253,49636,52,29840,59,55707,253,48422,52,29479,59,
525,Borough,Southwark,,8795,253,5651,52,3698,59,8270,253,5909,52,3756,59,
526,Boston Manor,Ealing,,3610,253,2483,52,1813,59,3469,253,2180,52,1736,59,
527,Bounds Green,Haringey,,10251,253,8186,52,5576,59,9587,253,7091,52,5422,59,
528,Bow Road,Tower Hamlets,,9952,253,7011,52,4848,59,9214,253,6080,52,4859,59,
529,Brent Cross,Barnet,,4126,253,2868,52,2358,59,3831,253,2608,52,2197,59,
778,Brixton,Lambeth,,48279,253,38563,52,27694,59,45229,253,37311,52,27017,59,
530,Bromley-by-Bow,Tower Hamlets,,6194,253,3742,52,2438,59,5803,253,3295,52,2387,59,
531,Buckhurst Hill,Epping Forest,,3499,253,2164,52,1151,59,3302,253,1859,52,1120,59,
532,Burnt Oak,Barnet,,7201,253,4668,52,3228,59,6797,253,4343,52,3106,59,
534,Caledonian Road,Islington,,9966,253,7305,52,5262,59,9122,253,6171,52,4851,59,
535,Camden Town,Camden,,29308,253,36786,52,15173,59,29686,253,44291,52,31556,59,
788,Canada Water,Southwark,,18516,253,17557,52,12558,59,18874,253,17740,52,12566,59,
852,Canary Wharf,Tower Hamlets,,93942,253,32437,52,23671,59,96111,253,34208,52,25354,59,
884,Canning Town,Newham,,17047,253,13715,52,10124,59,16079,253,12610,52,9643,59,
536,Cannon Street,City of London,,13998,253,3864,52,2177,59,13143,253,3172,52,2103,59,
537,Canons Park,Harrow,,4578,253,2973,52,1954,59,4371,253,2717,52,1877,59,
539,Chalfont & Latimer,Chiltern,,2458,253,1140,52,600,59,2549,253,931,52,469,59,
540,Chalk Farm,Camden,,8801,253,8922,52,8406,59,7466,253,6959,52,5342,59,
541,Chancery Lane,City of London,,29339,253,8145,52,4439,59,29996,253,8011,52,4095,59,
718,Charing Cross,City of Westminster,,34982,253,32281,52,18343,59,28683,253,21996,52,11499,59,
543,Chesham,Chiltern,,1703,253,794,52,493,59,1236,253,697,52,425,59,
544,Chigwell,Epping Forest,,1107,253,443,52,207,59,836,253,385,52,207,59,
545,Chiswick Park,Ealing,,3252,253,1933,52,1389,59,3783,253,1854,52,1521,59,
546,Chorleywood,Three Rivers,,1905,253,767,52,474,59,1907,253,1464,52,496,59,
547,Clapham Common,Lambeth,,14541,253,12625,52,8682,59,15777,253,13370,52,9113,59,
548,Clapham North,Lambeth,,9494,253,9612,52,6224,59,11388,253,9679,52,6316,59,
549,Clapham South,Wandsworth,,13651,253,10100,52,6823,59,13154,253,8996,52,6910,59,
550,Cockfosters,Enfield,,2812,253,2634,52,1679,59,2676,253,2375,52,1688,59,
551,Colindale,Barnet,,9835,253,6856,52,4466,59,9083,253,5705,52,4129,59,
552,Colliers Wood,Merton,,10356,253,8116,52,5700,59,9636,253,7236,52,5476,59,
553,Covent Garden,City of Westminster,,16937,253,25964,52,16573,59,22501,253,27921,52,15451,59,
554,Croxley,Three Rivers,,1928,253,762,52,416,59,1766,253,699,52,412,59,
555,Dagenham East,Barking and Dagenham,,4949,253,3119,52,1532,59,4463,253,2740,52,1400,59,
556,Dagenham Heathway,Barking and Dagenham,,10028,253,6085,52,3872,59,9732,253,5772,52,3745,59,
557,Debden,Epping Forest,,4423,253,1890,52,1003,59,4116,253,1693,52,960,59,
558,Dollis Hill,Brent,,6462,253,4596,52,3433,59,3163,253,2037,52,1746,59,
560,Ealing Broadway,Ealing,,27945,253,18330,52,12524,59,25623,253,17010,52,12048,59,
561,Ealing Common,Ealing,,5467,253,4121,52,2764,59,5490,253,3948,52,2742,59,
562,Earl's Court,Kensington and Chelsea,,31241,253,27303,52,20093,59,29686,253,26459,52,18741,59,
563,East Acton,Hammersmith and Fulham,,6387,253,4457,52,3271,59,6241,253,3888,52,3180,59,
565,East Finchley,Barnet,,12207,253,7910,52,5078,59,11408,253,6842,52,5106,59,
566,East Ham,Newham,,24072,253,18326,52,11485,59,23283,253,16339,52,10734,59,
567,East Putney,Wandsworth,,10272,253,6639,52,4377,59,8927,253,5698,52,4034,59,
564,Eastcote,Hillingdon,,4964,253,2737,52,1574,59,4426,253,2523,52,1554,59,
568,Edgware,Barnet,,7702,253,5236,52,3946,59,7303,253,4951,52,3690,59,
774,Edgware Road Bakerloo,City of Westminster,,7098,253,4873,52,3066,59,7201,253,5232,52,3037,59,
569,Edgware Road Circle,City of Westminster,,11917,253,7432,52,5262,59,11215,253,7356,52,4716,59,
570,Elephant & Castle,Southwark,,31209,253,22095,52,15434,59,28603,253,20562,52,14029,59,
571,Elm Park,Havering,,5161,253,2598,52,1547,59,4959,253,2433,52,1544,59,
542,Embankment,City of Westminster,,33187,253,29244,52,17479,59,32497,253,27726,52,16114,59,
572,Epping,Epping Forest,,5748,253,3611,52,2387,59,5018,253,3003,52,2064,59,
574,Euston,Camden,,62670,253,50142,52,42913,59,64227,253,49927,52,39304,59,
575,Euston Square,Camden,,25477,253,9658,52,8373,59,25638,253,9575,52,7672,59,
576,Fairlop,Redbridge,,1956,253,1111,52,673,59,1769,253,1067,52,659,59,
577,Farringdon,Islington,,43640,253,9944,52,6679,59,43109,253,10688,52,6124,59,
578,Finchley Central,Barnet,,9578,253,6357,52,3604,59,9125,253,5554,52,3662,59,
579,Finchley Road,Camden,,15958,253,11178,52,8416,59,15189,253,10167,52,7872,59,
580,Finsbury Park,Islington,previous years counts adjusted by average change between years by zone,44703,253,41631,52,24728,59,42792,253,33027,52,23215,59,
581,Fulham Broadway,Hammersmith and Fulham,,16528,253,15312,52,7943,59,16504,253,12682,52,7339,59,
582,Gants Hill,Redbridge,,10872,253,6659,52,4786,59,10299,253,6227,52,4738,59,
583,Gloucester Road,Kensington and Chelsea,,22330,253,17405,52,13861,59,20832,253,16116,52,12255,59,
584,Golders Green,Barnet,,13833,253,9833,52,7785,59,13167,253,8937,52,7352,59,
585,Goldhawk Road,Hammersmith and Fulham,,3469,253,2346,52,1427,59,3232,253,1957,52,1436,59,
586,Goodge Street,Camden,,15239,253,7487,52,4120,59,14839,253,7192,52,3816,59,
587,Grange Hill,Redbridge,,1211,253,563,52,309,59,1042,253,460,52,275,59,
588,Great Portland Street,City of Westminster,,15167,253,5074,52,3943,59,14125,253,4678,52,3266,59,
590,Green Park,City of Westminster,,59805,253,39885,52,26464,59,64785,253,48690,52,31599,59,
589,Greenford,Ealing,,7596,253,5234,52,3273,59,7475,253,4842,52,3161,59,
591,Gunnersbury,Hounslow,,9848,253,3868,52,2759,59,8819,253,3421,52,2475,59,
592,Hainault,Redbridge,,6077,253,3466,52,2245,59,5766,253,3238,52,2211,59,
593,Hammersmith,Hammersmith and Fulham,,46414,253,31125,52,21769,59,45041,253,29837,52,21049,59,District
773,Hammersmith,Hammersmith and Fulham,,18038,253,10792,52,7481,59,16662,253,10028,52,6794,59,Hammersmith & City
594,Hampstead,Camden,,6681,253,5245,52,4297,59,7008,253,5488,52,4790,59,
595,Hanger Lane,Ealing,,6753,253,3895,52,2836,59,6072,253,3508,52,2584,59,
596,Harlesden,Brent,,5152,253,2735,52,1734,59,4870,253,2549,52,1613,59,
597,Harrow & Wealdstone,Harrow,,8400,253,5469,52,3452,59,7763,253,4642,52,3122,59,
598,Harrow on the Hill,Harrow,,15963,253,10877,52,7617,59,16573,253,10807,52,7643,59,
779,Hatton Cross,Hillingdon,,5128,253,3917,52,2849,59,4712,253,3481,52,2672,59,
781,Heathrow Terminal 4,Hillingdon,,3260,253,3499,52,4020,59,2912,253,3507,52,3127,59,
783,Heathrow Terminal 5,Hillingdon,,5633,253,6101,52,6688,59,4731,253,4900,52,5310,59,
780,"Heathrow Terminals 1, 2, 3",Hillingdon,,10719,253,11903,52,12149,59,9339,253,9429,52,9976,59,
601,Hendon Central,Barnet,,13446,253,7883,52,5896,59,12423,253,6779,52,5337,59,
602,High Barnet,Barnet,,6116,253,3878,52,2444,59,5701,253,3399,52,2314,59,
605,High Street Kensington,Kensington and Chelsea,,20934,253,15572,52,11114,59,20426,253,15787,52,10374,59,
603,Highbury & Islington,Islington,,28475,253,22296,52,14407,59,28502,253,22142,52,14712,59,
604,Highgate,Haringey,,8953,253,6325,52,4013,59,8419,253,5569,52,3939,59,
606,Hillingdon,Hillingdon,,3039,253,1910,52,1413,59,2902,253,1716,52,1375,59,
607,Holborn,Camden,,62752,253,40111,52,25147,59,68154,253,44935,52,25507,59,
608,Holland Park,Kensington and Chelsea,,5466,253,3720,52,2572,59,5161,253,3522,52,2529,59,
609,Holloway Road,Islington,,10741,253,7404,52,5042,59,10597,253,6767,52,5013,59,
610,Hornchurch,Havering,,3567,253,1740,52,693,59,3383,253,1734,52,747,59,
611,Hounslow Central,Hounslow,,6258,253,5345,52,3179,59,6131,253,4428,52,3061,59,
612,Hounslow East,Hounslow,,6727,253,5463,52,4078,59,6996,253,5412,52,4019,59,
613,Hounslow West,Hounslow,,5502,253,4420,52,3488,59,5180,253,4133,52,3262,59,
614,Hyde Park Corner,City of Westminster,,9220,253,10705,52,11936,59,9524,253,14268,52,11725,59,
615,Ickenham,Hillingdon,,1970,253,1064,52,656,59,1978,253,1051,52,726,59,
616,Kennington,Southwark,,8917,253,6899,52,4754,59,8074,253,6113,52,4632,59,
617,Kensal Green,Brent,,4332,253,3203,52,2045,59,3680,253,2643,52,1890,59,
618,Kensington (Olympia),Kensington and Chelsea,,1622,253,7044,52,4193,59,1594,253,6397,52,4216,59,
619,Kentish Town,Camden,,17315,253,11821,52,8331,59,15971,253,10262,52,7328,59,
620,Kenton,Brent,,3479,253,2250,52,1419,59,3329,253,2151,52,1380,59,
621,Kew Gardens,Richmond,,5456,253,4602,52,3249,59,5199,253,4332,52,3351,59,
622,Kilburn,Brent,,12956,253,10233,52,7483,59,12285,253,9219,52,7296,59,
623,Kilburn Park,Brent,,5259,253,4379,52,3153,59,5071,253,4030,52,3057,59,
625,King's Cross St. Pancras,Camden,,138159,253,119658,52,98850,59,139242,253,112293,52,90457,59,
624,Kingsbury,Brent,,8169,253,5015,52,3473,59,7871,253,4717,52,3384,59,
626,Knightsbridge,Kensington and Chelsea,,28118,253,39428,52,27435,59,26236,253,32616,52,20007,59,
627,Ladbroke Grove,Kensington and Chelsea,,9301,253,9099,52,4845,59,8446,253,6574,52,3774,59,
628,Lambeth North,Lambeth,,5166,253,4610,52,3203,59,4675,253,3988,52,2712,59,
629,Lancaster Gate,City of Westminster,,9695,253,7762,52,6364,59,9224,253,7630,52,5612,59,
630,Latimer Road,Kensington and Chelsea,,4448,253,2172,52,1496,59,4221,253,1870,52,1370,59,
631,Leicester Square,City of Westminster,,58943,253,88890,52,54688,59,53914,253,85601,52,49034,59,
632,Leyton,Waltham Forest,,21859,253,19565,52,13504,59,21672,253,15741,52,12890,59,
633,Leytonstone,Waltham Forest,,17702,253,13410,52,9372,59,17075,253,12573,52,9188,59,
634,Liverpool Street,City of London,,115738,253,65331,52,56846,59,118058,253,66445,52,66113,59,
635,London Bridge,Southwark,,115478,253,86367,52,54213,59,109518,253,82780,52,51631,59,
636,Loughton,Epping Forest,,5342,253,3371,52,1885,59,5371,253,3157,52,1892,59,
