line,environment,species,mean
Bakerloo,CAB,CBLK,39.8977670009
Bakerloo,CAR,CBLK,54.5033824802
Bakerloo,CAB,PM25,73.7948717949
Bakerloo,CAR,PM25,57.8420168067
Central,CAB,CBLK,30.7422015304
Central,CAR,CBLK,19.3538000112
Central,CAB,PM25,72.6633540373
Central,CAR,PM25,39.8202531646
Circle,CAB,CBLK,5.2479321554
Circle,CAR,CBLK,8.9117439668
Circle,CAB,PM25,19.8182926829
Circle,CAR,PM25,16.005
District,CAB,CBLK,9.4237310885
District,CAR,CBLK,8.7124721387
District,CAB,PM25,27.381
District,CAR,PM25,13.6544554455
Jubilee,CAB,CBLK,18.2605192109
Jubilee,CAR,CBLK,20.0055342591
Jubilee,CAB,PM25,54.038247012
Jubilee,CAR,PM25,39.5545816733
Northern,CAB,CBLK,38.1565401039
Northern,CAR,CBLK,31.9406403334
Northern,CAB,PM25,55.6129554656
Northern,CAR,PM25,98.5340909092
Piccadilly,CAR,CBLK,26.942246083
Piccadilly,CAB,PM25,126.6502463054
Piccadilly,CAR,PM25,86.3134020619
Victoria,CAB,CBLK,28.0208073866
Victoria,CAR,CBLK,39.5862294774
Victoria,CAB,PM25,74.43125
Victoria,CAR,PM25,134.2989473684
