line,station,pm25,x,y,z
Bakerloo,Baker Street,343.80,527965,182070,20.30
Bakerloo,Charing Cross,219.78,530237,180518,23.81
Bakerloo,Edgware Road Bakerloo,410.40,527055,181727,24.87
Bakerloo,Elephant & Castle,129.60,531941,179136,22.84
Bakerloo,Embankment,224.63,530407,180372,19.87
Bakerloo,Harlesden,88.20,520952,183360,6.20
Bakerloo,Harrow & Wealdstone,65.70,515419,189464,-2.20
Bakerloo,Kensal Green,84.60,523241,182777,6.60
Bakerloo,Kenton,76.50,516697,188333,6.60
Bakerloo,Kilburn Park,248.40,525361,183342,7.48
Bakerloo,Lambeth North,234.00,531166,179481,16.53
Bakerloo,Maida Vale,343.80,525954,182766,14.42
Bakerloo,Marylebone,406.80,527537,181966,22.63
Bakerloo,North Wembley,90.90,517648,186208,6.00
Bakerloo,Oxford Circus,296.79,529038,181214,22.31
Bakerloo,Paddington,342.90,526704,181176,15.73
Bakerloo,Piccadilly Circus,264.21,529591,180661,25.20
Bakerloo,Queen's Park,104.40,524619,183216,5.60
Bakerloo,Regent's Park,340.20,528661,182137,24.82
Bakerloo,South Kenton,99.00,517321,187055,-3.40
Bakerloo,Stonebridge Park,83.70,519690,184190,-7.50
Bakerloo,Warwick Avenue,425.70,526107,182047,14.53
Bakerloo,Waterloo,210.25,530993,179971,17.37
Bakerloo,Wembley Central,92.70,518180,185090,6.50
Bakerloo,Willesden Junction,70.20,521879,182937,5.50
Central,Bank,324.00,532710,181106,20.51
Central,Barkingside,81.00,544791,189503,-0.50
Central,Bethnal Green,257.40,534992,182712,15.97
Central,Bond Street,388.80,528516,181054,21.00
Central,Chancery Lane,527.40,531117,181601,22.20
Central,Ealing Broadway,45.20,517955,180922,5.10
Central,East Acton,44.10,521697,181195,-5.90
Central,Fairlop,54.00,544927,190608,-5.20
Central,Gants Hill,104.40,543268,188425,16.47
Central,Greenford,30.60,514768,183896,-10.20
Central,Hainault,53.10,545053,191507,-5.20
Central,Hanger Lane,45.90,518505,182614,8.10
Central,Holborn,363.60,530541,181510,26.25
Central,Holland Park,169.20,524621,180237,18.79
Central,Lancaster Gate,369.00,526711,180788,15.53
Central,Leyton,102.60,538359,186057,5.00
Central,Leytonstone,87.30,539282,187390,0.10
Central,Liverpool Street,393.30,533111,181567,21.53
Central,Marble Arch,400.80,527885,181009,25.60
Central,Mile End,282.60,536526,182519,7.17
Central,Newbury Park,82.80,544950,188371,2.00
Central,North Acton,50.40,520831,181930,8.60
Central,Northolt,34.20,513227,184512,5.20
Central,Notting Hill Gate,283.20,525254,180445,28.12
Central,Oxford Circus,461.70,529038,181214,26.40
Central,Perivale,56.70,516349,183297,-6.60
Central,Queensway,304.20,525882,180607,23.91
Central,Redbridge,122.40,541835,188364,5.24
Central,Ruislip Gardens,45.00,510245,185830,-4.50
Central,Shepherd's Bush,195.60,523198,180005,16.18
Central,South Ruislip,44.10,511113,185396,-4.40
Central,St. Paul's,428.40,532105,181257,24.41
Central,Stratford,258.30,538573,184379,-3.20
Central,Tottenham Court Road,404.10,529791,181354,24.80
Central,Wanstead,90.00,540682,188245,19.37
Central,West Acton,34.20,519370,181283,5.60
Central,West Ruislip,34.65,508362,186784,5.90
Central,White City,43.77,523323,180722,2.00
Circle,Aldgate,71.10,533630,181238,7.20
Circle,Baker Street,68.40,527965,182070,8.15
Circle,Barbican,43.20,532080,181851,8.60
Circle,Bayswater,11.70,525835,180812,7.04
Circle,Blackfriars,65.70,531696,180878,7.30
Circle,Cannon Street,86.40,532592,180895,6.60
Circle,Edgware Road Circle,39.86,527227,181702,5.20
Circle,Embankment,101.70,530407,180372,5.40
Circle,Euston Square,81.90,529420,182385,6.90
Circle,Farringdon,81.90,531569,181871,4.50
Circle,Gloucester Road,44.10,526235,178820,7.05
Circle,Goldhawk Road,9.90,523177,179603,-6.00
