line,station,pm25,particle_number,black_carbon,x,y,z
Hammersmith & City,Goldhawk Road,1.67,6264.00,9.20,-0.226746100750122,51.5019497588019,6.00
Bakerloo,Embankment,224.63,21256.33,132.90,-0.122355848615159,51.5072401817276,-19.87
Docklands Light Railway,Bow Church,15.30,5738.50,0.95,-0.0206852036748705,51.5273305445878,-90.00
Circle,Gloucester Road,44.10,10001.50,3.95,-0.182992031938743,51.4942389350957,-7.05
Central,Bond Street,388.80,27120.00,69.87,-0.149339545689756,51.5138019598087,-21.00
Piccadilly,South Ealing,221.40,15290.50,8.35,-0.307021721468717,51.5013644995448,-3.70
Metropolitan,Northwood Hills,92.70,5550.50,2.80,-0.409293118677936,51.600496008747,-6.00
Northern,Kentish Town,208.38,22728.67,147.00,-0.140459127902617,51.5503058619646,-22.62
District,Elm Park,16.20,9541.50,1.30,0.199174806490832,51.5497993369641,-5.70
Jubilee,Dollis Hill,19.80,5410.50,2.13,-0.238795633810939,51.5519041334796,2.40
Docklands Light Railway,Royal Albert,17.10,4988.50,1.30,0.0462158794984501,51.5081970608497,-90.00
Northern,Archway,210.23,20835.00,129.10,-0.135109688301246,51.5654271884217,-21.27
Metropolitan,West Harrow,115.20,8747.50,2.85,-0.352921097326334,51.579773933826,4.50
Circle,St. James's Park,81.00,14706.50,19.05,-0.134177690829964,51.4993445671185,-5.80
Central,Stratford,258.30,9657.50,28.00,-0.00319169850983108,51.5413053643184,3.20
District,Westminster,114.30,9999.00,24.45,-0.124813363226207,51.5010836419183,-7.00
Piccadilly,Manor House,544.50,14109.00,56.90,-0.0957133991600497,51.5707564488958,-18.49
Piccadilly,Oakwood,237.60,5486.50,8.75,-0.131841267939583,51.6475836071085,-6.20
Piccadilly,Cockfosters,234.90,4803.00,6.15,-0.149612380108718,51.6516867346197,-4.00
Northern,Bank,277.20,14818.00,44.50,-0.0889155480325969,51.5133005871955,-29.60
Hammersmith & City,Whitechapel,15.88,10456.00,45.85,-0.0599883116940927,51.5194532117252,-2.89
Hammersmith & City,Mile End,6.16,10872.00,35.80,-0.0334107970620596,51.5250896088848,-7.28
Central,Hainault,53.10,3884.00,1.70,0.0931238036778706,51.6037263557983,5.20
Victoria,Vauxhall,502.20,12749.50,49.10,-0.123743546513695,51.4857342279123,-17.72
Circle,Westminster,119.70,12239.00,22.75,-0.124813363226207,51.5010836419183,-7.00
Bakerloo,Wembley Central,92.70,18784.50,27.40,-0.296865310826558,51.5523297794344,-6.50
District,St. James's Park,166.50,9999.00,23.75,-0.134177690829964,51.4993445671185,-5.80
Docklands Light Railway,Island Gardens,23.40,5878.00,3.40,-0.00948292323027968,51.4866739573593,-90.00
Piccadilly,Arsenal,549.00,14540.00,48.55,-0.105761259442896,51.5585004714115,-8.24
Central,St. Paul's,428.40,22623.00,52.00,-0.0975724558670981,51.5147992010901,-24.41
Northern,Borough,241.20,14901.00,54.00,-0.0937013564691611,51.5011935395879,-17.48
Piccadilly,Holborn,381.60,16549.50,50.35,-0.120005169629409,51.5174360253105,-37.91
Northern,Camden Town,233.80,22962.33,143.33,-0.142720377822152,51.5394068482895,-16.46
