"line","start_x","start_y","end_x","end_y","pm25","start_station","end_station"
"Bakerloo",516697,188333,515419,189464,55.3030303030303,"Kenton","Harrow & Wealdstone"
"Bakerloo",517321,187055,516697,188333,45.6363636363636,"South Kenton","Kenton"
"Bakerloo",517648,186208,517321,187055,66.6363636363636,"North Wembley","South Kenton"
"Bakerloo",517648,186208,518180,185090,77.6363636363638,"North Wembley","Wembley Central"
"Bakerloo",519690,184190,518180,185090,58.1363636363636,"Stonebridge Park","Wembley Central"
"Bakerloo",520952,183360,519690,184190,49.6363636363636,"Harlesden","Stonebridge Park"
"Bakerloo",521879,182937,520952,183360,44.6363636363636,"Willesden Junction","Harlesden"
"Bakerloo",521879,182937,523241,182777,61.3030303030303,"Willesden Junction","Kensal Green"
"Bakerloo",523241,182777,524619,183216,73.0363636363637,"Kensal Green","Queen's Park"
"Bakerloo",525361,183342,524619,183216,203.303030303031,"Kilburn Park","Queen's Park"
"Bakerloo",525954,182766,525361,183342,281.969696969697,"Maida Vale","Kilburn Park"
"Bakerloo",525954,182766,526107,182047,236.636363636364,"Maida Vale","Warwick Avenue"
"Bakerloo",526704,181176,526107,182047,336.636363636364,"Paddington","Warwick Avenue"
"Bakerloo",527055,181727,526704,181176,298.636363636364,"Edgware Road Bakerloo","Paddington"
"Bakerloo",527537,181966,527965,182070,377.636363636364,"Marylebone","Baker Street"
"Bakerloo",527965,182070,528661,182137,309.636363636364,"Baker Street","Regent's Park"
"Bakerloo",529038,181214,528661,182137,303.636363636364,"Oxford Circus","Regent's Park"
"Bakerloo",529038,181214,529591,180661,312.636363636364,"Oxford Circus","Piccadilly Circus"
"Bakerloo",530237,180518,529591,180661,302.636363636364,"Charing Cross","Piccadilly Circus"
"Bakerloo",530237,180518,530407,180372,252.636363636364,"Charing Cross","Embankment"
"Bakerloo",531166,179481,530993,179971,211.636363636364,"Lambeth North","Waterloo"
"Bakerloo",531941,179136,531166,179481,121.636363636364,"Elephant & Castle","Lambeth North"
"Central",510245,185830,508362,186784,29.8991666666666,"Ruislip Gardens","West Ruislip"
"Central",510245,185830,511113,185396,26.5658333333333,"Ruislip Gardens","South Ruislip"
"Central",511113,185396,513227,184512,35.2325,"South Ruislip","Northolt"
"Central",513227,184512,514768,183896,29.5658333333333,"Northolt","Greenford"
"Central",514768,183896,516349,183297,49.8991666666666,"Greenford","Perivale"
"Central",518505,182614,516349,183297,36.5658333333333,"Hanger Lane","Perivale"
"Central",519370,181283,517955,180922,30.5658333333333,"West Acton","Ealing Broadway"
"Central",519370,181283,520831,181930,25.2325,"West Acton","North Acton"
"Central",520831,181930,518505,182614,42.5658333333333,"North Acton","Hanger Lane"
"Central",520831,181930,521697,181195,36.0658333333333,"North Acton","East Acton"
"Central",521697,181195,523323,180722,48.3658333333333,"East Acton","White City"
"Central",523198,180005,523323,180722,97.3158333333332,"Shepherd's Bush","White City"
"Central",524621,180237,523198,180005,368.565833333333,"Holland Park","Shepherd's Bush"
"Central",524621,180237,525254,180445,78.5658333333333,"Holland Park","Notting Hill Gate"
"Central",525254,180445,525882,180607,269.565833333333,"Notting Hill Gate","Queensway"
